연번,년도,구분,시도,시군구,설립주체,운영방식,개관년도,도서관명,주소,상세주소,전화번호,팩스,홈페이지,봉사대상지역,대출권수_어린이_총류,대출권수_어린이_철학,대출권수_어린이_종교,대출권수_어린이_사회과학,대출권수_어린이_순수과학,대출권수_어린이_기술과학,대출권수_어린이_예술,대출권수_어린이_언어,대출권수_어린이_문학,대출권수_어린이_역사,대출권수_청소년_총류,대출권수_청소년_철학,대출권수_청소년_종교,대출권수_청소년_사회과학,대출권수_청소년_순수과학,대출권수_청소년_기술과학,대출권수_청소년_예술,대출권수_청소년_언어,대출권수_청소년_문학,대출권수_청소년_역사,대출권수_성인_총류,대출권수_성인_철학,대출권수_성인_종교,대출권수_성인_사회과학,대출권수_성인_순수과학,대출권수_성인_기술과학,대출권수_성인_예술,대출권수_성인_언어,대출권수_성인_문학,대출권수_성인_역사,도서_국내_총류,도서_국내_철학,도서_국내_종교,도서_국내_사회과학,도서_국내_순수과학,도서_국내_기술과학,도서_국내_예술,도서_국내_언어,도서_국내_문학,도서_국내_역사,시설_도서관부지면적,시설_연면적,개관일수,행정구역코드,법정구역코드,AGE,총_국내도서권수,총_대출권수
136,2016,공공(일반),경기도,성남시,지자체,위탁,2014,논골도서관,경기도 성남시 수정구 논골로23번길,2,031-732-9581,031-732-9582,,수정구,92,75,62,408,437,113,60,32,1605,244,11.0,25.0,4.0,76.0,66.0,22.0,9.0,6.0,261.0,18.0,241.0,436.0,169.0,1461.0,913.0,668.0,210.0,116.0,3871.0,715,500,385,265,2086,1342,624,327,199,4074,1073,189.8,285.9,299,31020,41130,3,10875,12426.0
137,2016,공공(일반),경기도,성남시,지자체,위탁,2000,성남시수정도서관,경기도 성남시 수정구 수정로332번길 32 (산성동),332번길 32(산성동 2224번지),031-743-9600,031-745-9922,http://sj.snlib.go.kr,경기도 성남시 수정구,1463,885,869,6941,5529,824,1196,3103,25180,5349,626.0,710.0,301.0,1876.0,1437.0,834.0,776.0,652.0,7566.0,2051.0,11958.0,14179.0,7147.0,45002.0,17565.0,15649.0,16527.0,11364.0,99667.0,26923,15662,15724,13160,63004,21243,22557,16139,14159,101262,28415,6188,7923.0,299,31020,41130,17,311325,334149.0
138,2016,공공(일반),경기도,성남시,지자체,위탁,2000,성남시중원도서관,경기도 성남시 중원구 원터로17번길 46 (성남동),성남시중원도서관,031-752-3913,031-752-1616,http://jw.snlib.go.kr,경기도 성남시 중원구,3642,1742,961,11075,8790,1221,1284,3550,32111,6647,1103.0,787.0,214.0,2232.0,2187.0,1057.0,3912.0,701.0,10597.0,2148.0,18158.0,17424.0,7914.0,53173.0,16604.0,24115.0,17901.0,15605.0,133325.0,26400,17533,15886,12481,63320,20039,23891,17126,17761,111061,26336,8264,13164.0,297,31020,41130,17,325434,426580.0
140,2016,공공(일반),경기도,수원시,교육청,직영,2008,경기평생교육학습관,경기도 수원시 권선구 권중로 55 (권선동),55 경기평생교육학습관,031-259-1028,031-259-1039,http://www.gglec.go.kr/,수원,3655,2458,1044,10029,13769,1806,1794,5190,50722,12071,1401.0,2235.0,661.0,5974.0,1202.0,3313.0,1265.0,1521.0,12856.0,2386.0,5851.0,8716.0,2567.0,24445.0,6136.0,14163.0,5249.0,5340.0,47601.0,9344,44529,31456,23444,137111,39101,68753,31341,25163,213744,54113,4958,14900.0,300,31010,41110,9,668755,264764.0
141,2016,공공(일반),경기도,수원시,지자체,직영,2006,서수원도서관,경기도 수원시 권선구 탑동로57번길 35 (탑동),탑동로57번길 35,031-228-4746,031-228-3758,http://www.suwonlib.go.kr/seo/,권선구,881,708,423,3522,4483,920,638,1221,12415,3436,437.0,702.0,209.0,1981.0,1590.0,1214.0,742.0,489.0,6855.0,1069.0,4134.0,5622.0,2544.0,16386.0,7420.0,8522.0,4277.0,4457.0,41744.0,10444,10960,9914,6531,35667,13214,14905,10159,8264,63299,17063,2634,4587.0,325,31010,41110,11,189976,149485.0
142,2016,공공(일반),경기도,수원시,지자체,직영,2014,수원시버드내도서관,경기도 수원시 권선구 세권로102번길,20(세류동),031-228-4761,031-228-3931,http://bdn.suwonlib.go.kr,수원시,1245,803,706,4591,6258,1756,1170,1399,14971,3210,201.0,357.0,78.0,685.0,630.0,522.0,252.0,264.0,2343.0,490.0,3514.0,4249.0,2057.0,10830.0,6849.0,7501.0,2693.0,3575.0,31346.0,7096,2896,3200,1506,8546,3252,4967,2426,1958,17720,5198,5653,4000.0,307,31010,41110,3,51669,121641.0
143,2016,공공(일반),경기도,수원시,지자체,직영,2014,수원한림도서관,경기도 수원시 권선구 동수원로 25번길 32-52,"(권선동, 한림도서관)",031-228-4855,031-228-3759,http://www.suwonlib.go.kr,수원시 권선구 ,1463,1102,1253,5243,6929,1914,909,2881,19630,3412,187.0,228.0,127.0,630.0,595.0,419.0,184.0,169.0,2353.0,513.0,3623.0,4200.0,2225.0,14250.0,10052.0,8419.0,2771.0,5136.0,41140.0,11742,2281,2622,1330,8710,3325,3742,2398,1695,17322,4768,7156,2417.0,308,31010,41110,3,48193,153699.0
145,2016,공공(일반),경기도,수원시,지자체,직영,2014,호매실도서관,경기도 수원시 권선구 칠보로,169(호매실동) 호매실도서관,031-228-4658,031-228-3785,http://www.suwonlib.go.kr/hms,수원시 권선구,3561,1136,1222,7277,8824,2712,1762,4607,26309,3887,471.0,549.0,175.0,1594.0,1273.0,938.0,626.0,548.0,4645.0,715.0,8411.0,6550.0,3262.0,24867.0,15122.0,14957.0,5781.0,9581.0,63125.0,12061,4269,4472,2491,14710,5242,6902,4109,3108,26280,6388,8637,4930.45,308,31010,41110,3,77971,236548.0
146,2016,공공(일반),경기도,수원시,지자체,위탁,2006,희망샘도서관,경기도 수원시 권선구 매송고색로 620 (고색동),620 서수원주민편익시설 3층,031-291-6943,031-291-6944,http://www.suwonlib.go.kr/swhope/index.asp,수원시 권선구,170,105,19,593,357,205,133,260,4503,359,33.0,69.0,7.0,252.0,150.0,57.0,41.0,29.0,837.0,81.0,552.0,847.0,190.0,3117.0,1217.0,1197.0,769.0,683.0,14880.0,1593,1424,1317,486,4760,2915,1751,1236,461,16319,2435,1848.23,417.0,320,31010,41110,11,33104,33305.0
147,2016,공공(일반),경기도,수원시,지자체,직영,2014,광교홍재도서관,경기도 수원시 영통구 대학로,88(이의동),031-228-4812,031-228-3786,http://gh.suwonlib.go.kr,수원시,4542,1760,1534,8393,11892,2413,2221,6206,38857,5991,585.0,569.0,166.0,1808.0,1557.0,1055.0,637.0,626.0,6260.0,1140.0,10230.0,7822.0,3538.0,27244.0,18036.0,14080.0,7850.0,12263.0,76357.0,16971,3550,3823,2219,12367,5651,6026,5697,2875,22741,5878,3057,9824.73,325,31010,41110,3,70827,292603.0
150,2016,공공(일반),경기도,수원시,지자체,위탁,2006,사랑샘도서관,경기도 수원시 영통구 이의동 ,1088번지 수원시장애인종합복지관,031-548-5660,031-207-1504,http://swlove.suwonlib.go.kr,수원시,14,35,18,172,274,152,32,73,722,73,2.0,42.0,10.0,54.0,132.0,41.0,26.0,19.0,315.0,90.0,116.0,268.0,185.0,637.0,623.0,298.0,203.0,221.0,2580.0,360,724,1024,709,3566,1930,1410,897,471,9705,1702,7929,542.0,247,31010,41110,11,22138,7787.0
151,2016,공공(일반),경기도,수원시,지자체,직영,1999,수원시영통도서관,경기도 수원시 영통구 청명로,151 (영통도서관),031-228-4758,031-228-3756,http://www.suwonlib.go.kr/yt,경기도 수원시 영통구,2525,2162,1398,10713,15683,3986,2220,6470,52124,9007,855.0,1757.0,344.0,4924.0,4041.0,2457.0,1807.0,1356.0,14256.0,2493.0,8675.0,11237.0,5198.0,40918.0,22677.0,23383.0,9628.0,15021.0,109129.0,23609,11946,13303,9052,47544,18053,21404,14779,12996,83191,23488,9572,4136.0,325,31010,41110,18,255756,410053.0
152,2016,공공(일반),경기도,수원시,지자체,직영,2011,태장마루도서관,경기도 수원시 영통구 태장로 46 (망포동),태장로 46 (망포동),031-228-4828,031-228-3757,http://www.suwonlib.go.kr/tm,수원시 영통구,2221,1720,1123,8676,11092,2863,1449,4315,37133,7847,784.0,1321.0,275.0,3278.0,2482.0,1940.0,1255.0,780.0,11460.0,1993.0,7233.0,8483.0,3142.0,27331.0,13941.0,13173.0,5290.0,8757.0,75787.0,15371,4752,6886,2861,17523,6107,7582,4574,4044,34096,8419,4676,3969.0,325,31010,41110,6,96844,282515.0
153,2016,공공(일반),경기도,수원시,교육청,직영,1970,경기도립중앙도서관,경기도 수원시 장안구 조원로,18(조원동 495),031-240-4032,031-242-3062,http://www.gglib.or.kr,경기도,3334,1929,1356,7660,6054,3642,2710,2928,41256,6512,417.0,655.0,141.0,1831.0,1391.0,920.0,456.0,416.0,6563.0,1316.0,14333.0,5171.0,2848.0,17169.0,5507.0,8960.0,7497.0,5274.0,49743.0,9902,8353,10648,5518,32403,15347,15487,10278,11957,67479,16934,2216,2360.0,300,31010,41110,47,194404,217891.0
154,2016,공공(일반),경기도,수원시,지자체,직영,2014,대추골도서관,경기도 수원시 장안구 수일로 164 (조원동),164 조원동 대추골도서관,031-228-4816,031-228-3762,http://www.suwonlib.go.kr/dcg,수원시 장안구,2537,1237,1360,5111,5802,1892,1060,1364,26030,4823,432.0,624.0,101.0,1778.0,1272.0,915.0,412.0,358.0,3657.0,772.0,4858.0,5874.0,2759.0,17228.0,8396.0,9306.0,3800.0,4002.0,48485.0,11371,3737,3819,2054,12757,4561,5241,3320,2552,23428,5226,3460,2692.0,307,31010,41110,3,66695,177616.0
155,2016,공공(일반),경기도,수원시,지자체,직영,2006,북수원도서관,경기 수원시 장안구 정자동,만석로 65,031-228-4776,031-228-3761,http://buk.suwonlib.go.kr,경기도 수원시 장안구,2418,2194,937,11216,12681,3354,2590,4411,42949,9208,1181.0,1838.0,373.0,5168.0,4377.0,2924.0,2040.0,1443.0,15958.0,2835.0,12309.0,16500.0,5491.0,47480.0,24898.0,25327.0,15644.0,14920.0,132449.0,26826,9256,10102,6389,37355,12873,15853,13837,8760,60907,17518,4530,4480.0,327,31010,41110,11,192850,451939.0
157,2016,공공(일반),경기도,수원시,지자체,직영,2015,일월도서관,경기도 수원시 장안구 일월천로 77 (천천동),일월도서관,031-228-3655,031-228-3753,http://www.suwonlib.go.kr/iw/index.asp,수원시 장안구,2481,1578,1205,7980,8340,3334,1681,2811,30856,4702,614.0,904.0,174.0,2561.0,1896.0,1675.0,857.0,560.0,7078.0,1401.0,7171.0,7862.0,4071.0,27281.0,13617.0,17757.0,6662.0,6508.0,71571.0,13809,2464,2945,1549,9405,4101,5487,2993,1901,20374,4500,7961,3905.0,307,31010,41110,2,55719,258997.0
159,2016,공공(일반),경기도,수원시,지자체,직영,1995,수원시선경도서관,경기도 수원시 팔달구 신풍로23번길,68 (선경도서관),031-228-4721,031-228-3746,http://www.suwonlib.go.kr/sk/,경기도 수원시 팔달구 ,478,705,466,3385,3710,1031,878,1340,12386,2880,317.0,723.0,170.0,1698.0,1208.0,974.0,656.0,451.0,4905.0,989.0,4838.0,8000.0,3806.0,21125.0,6659.0,11557.0,6811.0,6266.0,44608.0,12236,21591,20608,14079,93227,22897,41443,22681,16110,119568,39165,11830,8312.0,323,31010,41110,22,411369,165256.0
160,2016,공공(일반),경기도,수원시,지자체,직영,1980,수원시중앙도서관,경기도 수원시 팔달구 팔달산로 318 (교동),수원시중앙도서관,031-228-4781,031-228-3745,http://suwonlib.go.kr/ct,수원시 팔달구,312,261,126,1176,1527,482,297,499,3134,972,207.0,256.0,79.0,769.0,463.0,330.0,245.0,223.0,2209.0,463.0,4089.0,6086.0,2445.0,14924.0,5319.0,8248.0,3873.0,4335.0,29526.0,6965,15313,11895,8551,52884,15075,23222,16455,11522,67681,22902,3438,2712.0,327,31010,41110,37,245500,99840.0
161,2016,공공(일반),경기도,수원시,지자체,직영,2014,창룡도서관,경기도 수원시 팔달구 월드컵로381번길,36 (우만동) 창룡도서관,031-228-4881,031-228-3760,http://www.suwonlib.go.kr/cy,경기도 수원시 팔달구,1926,786,597,4677,6726,1449,1301,4572,19797,3799,299.0,446.0,92.0,1278.0,899.0,605.0,336.0,521.0,3630.0,739.0,4638.0,4442.0,1813.0,15574.0,8186.0,8296.0,3611.0,8154.0,40823.0,8706,3193,3339,1895,11653,3729,4634,2882,2594,16822,4417,5123,4337.0,308,31010,41110,3,55158,158718.0
162,2016,공공(일반),경기도,수원시,지자체,위탁,2000,한아름도서관 ,경기도 수원시 팔달구 인계동,334-1,031-218-0422,031-218-0429,http://www.suwonlib.go.kr/sycc,              수원시 팔달구,200,189,162,605,1478,352,316,260,3057,433,71.0,234.0,38.0,452.0,257.0,144.0,170.0,70.0,1975.0,187.0,863.0,1993.0,719.0,4011.0,3136.0,2039.0,1576.0,1342.0,16228.0,2707,2163,2913,958,8760,4297,2749,2930,1662,18747,6251,55661,555.0,300,31010,41110,17,51430,45264.0
163,2016,공공(일반),경기도,수원시,지자체,직영,2016,화서다산도서관,경기도 수원시 팔달구 화양로68번길 7-35 (화서동),화서다산도서관,031-228-3542,031-228-3791,http://www.suwonlib.go.kr/hd,수원시 팔달구,938,473,599,3015,2898,851,536,2341,7458,1855,109.0,217.0,48.0,471.0,510.0,360.0,215.0,245.0,1508.0,402.0,2289.0,2115.0,1416.0,7196.0,3921.0,4370.0,1720.0,4168.0,18376.0,5089,1987,2172,1156,6443,2769,3601,2096,1574,12660,3413,5467,3611.0,162,31010,41110,1,37871,75709.0
164,2016,공공(일반),경기도,시흥시,지자체,직영,2010,시흥시군자도서관,경기도 시흥시 군자로 499 (거모동),군자로 499,031-310-5191,031-310-5199,https://lib.siheung.go.kr,군자동 거모등 장곡동,448,279,254,1348,1091,490,461,410,2350,943,368.0,473.0,63.0,1061.0,926.0,452.0,385.0,249.0,2270.0,697.0,2405.0,2857.0,947.0,7000.0,2760.0,3386.0,2249.0,1429.0,10914.0,3910,3440,3075,1334,10750,5133,3980,3487,1605,23058,5409,1305,1499.0,304,31150,41390,7,61271,52875.0
165,2016,공공(일반),경기도,시흥시,지자체,직영,2010,시흥시능곡도서관,경기 시흥시 능곡동,능곡중앙로 85 시흥시능곡도서관,031-310-2551,031-310-2569,http://lib.siheung.go.kr,시흥시,339,221,110,608,590,276,474,328,1111,452,160.0,246.0,36.0,492.0,421.0,261.0,401.0,204.0,1034.0,333.0,1064.0,1391.0,431.0,2805.0,1345.0,1517.0,1271.0,982.0,4599.0,1592,3358,4369,2170,15208,5944,4651,3375,3143,29651,6957,1500,3560.0,300,31150,41390,7,78826,25094.0
166,2016,공공(일반),경기도,시흥시,지자체,직영,1996,시흥시대야도서관,경기도 시흥시 대야동,173번길 14,031-310-5271,031-310-5279,http://www.shcitylib.or.kr/,시흥시,274,249,549,1607,1213,591,732,454,6708,1600,225.0,550.0,107.0,1291.0,725.0,652.0,542.0,248.0,4562.0,677.0,3338.0,6516.0,3130.0,17606.0,7109.0,8051.0,5214.0,3296.0,56464.0,10484,6032,9060,5380,26002,11537,11808,7950,5410,69573,16704,4146,1414.0,294,31150,41390,21,169456,144764.0
168,2016,공공(일반),경기도,시흥시,지자체,직영,2012,시흥시매화도서관,경기도 시흥시 매화로,20 (매화도서관),031-310-5208,031-310-5239,https://lib.siheung.go.kr,시흥시 매화동,60,31,23,142,105,66,124,35,316,100,27.0,53.0,15.0,101.0,79.0,62.0,75.0,35.0,283.0,71.0,249.0,306.0,133.0,616.0,277.0,349.0,284.0,195.0,1478.0,386,2443,2390,1356,5659,2873,2381,1384,898,6472,1688,859,796.85,302,31150,41390,5,27544,6076.0
169,2016,공공(일반),경기도,시흥시,지자체,직영,2012,시흥시신천도서관,경기도 시흥시 신천로,89 18 (신천도서관),031-310-5208,031-310-5239,http://www.shcitylib.or.kr,시흥시 신천동,55,29,22,148,142,73,132,39,335,98,43.0,54.0,11.0,128.0,88.0,60.0,88.0,45.0,338.0,90.0,299.0,373.0,140.0,900.0,270.0,512.0,337.0,209.0,1752.0,516,2041,1553,922,6923,3035,2692,2064,930,16102,3157,746,662.82,302,31150,41390,5,39419,7326.0
170,2016,공공(일반),경기도,시흥시,지자체,직영,2015,시흥시장곡도서관,경기도 시흥시,인선로 52,031-310-5233,031-310-5239,http://lib.siheung.go.kr/,시흥시 장곡동,246,147,95,323,451,189,240,275,787,311,95.0,123.0,36.0,214.0,272.0,152.0,122.0,112.0,570.0,195.0,651.0,711.0,325.0,1459.0,942.0,1041.0,649.0,665.0,2838.0,1014,1164,1053,711,3140,2126,1617,1374,971,9922,2067,859,1916.0,302,31150,41390,2,24145,15250.0
171,2016,공공(일반),경기도,시흥시,지자체,직영,2002,시흥시중앙도서관,경기도 시흥시 정왕대로,191 (시흥시중앙도서관),031-310-5230,031-310-5239,http://lib.siheung.go.kr,시흥시,5089,4156,3925,8956,9834,4837,4594,6437,28519,8599,2697.0,2585.0,1719.0,4375.0,3827.0,2917.0,2428.0,2201.0,12974.0,3058.0,14677.0,14416.0,10745.0,28001.0,20477.0,18109.0,13768.0,15292.0,77369.0,20419,8965,8670,5730,25537,12076,11381,7345,6696,63297,12425,5103,3904.0,254,31150,41390,15,162122,357000.0
172,2016,공공(일반),경기도,시흥시,지자체,직영,2015,시흥시진로도서관,경기도 시흥시 소래산길,11 (ABC행복학습타운) 지혜관1층 시흥시진로도서관,031-310-2561,031-310-5239,https://www.shcitylib.or.kr/index.ax,시흥시,16,31,0,84,25,21,6,11,97,58,39.0,33.0,1.0,164.0,39.0,27.0,16.0,3.0,132.0,90.0,371.0,516.0,41.0,863.0,71.0,87.0,94.0,22.0,1845.0,511,313,441,45,988,187,144,122,35,1230,373,291,310.0,252,31150,41390,2,3878,5314.0
173,2016,공공(일반),경기도,시흥시,지자체,직영,2013,월곶도서관,경기도 시흥시 월곶해안로161번길,7 (월곶문화센터),031-310-2593,031-310-5239,http://lib.siheung.go.kr,시흥시 월곶동,98,60,46,213,223,107,89,110,423,174,23.0,48.0,19.0,110.0,74.0,66.0,24.0,26.0,258.0,84.0,346.0,445.0,162.0,974.0,510.0,691.0,312.0,322.0,1806.0,705,1118,1699,646,4805,2752,1675,1045,594,10395,2802,2333,704.0,302,31150,41390,4,27531,8548.0
175,2016,공공(일반),경기도,안산시,지자체,직영,2016,대부도서관,경기도 안산시 단원구,대남로 30,031-481-3956,031-481-3633,http://lib.iansan.net,대부도,3433,261,173,854,878,460,223,447,1000,466,700.0,55.0,51.0,200.0,300.0,100.0,50.0,150.0,500.0,400.0,1300.0,145.0,49.0,400.0,400.0,600.0,150.0,250.0,1290.0,600,985,1116,740,3597,2305,2109,817,860,6607,2166,2091,997.25,301,31090,41270,1,21302,15885.0
176,2016,공공(일반),경기도,안산시,지자체,직영,2015,선부도서관,경기도 안산시 단원구,선부로100,031-481-3888,031-487-7525,http://lib.iansan.net,안산시단원구,193,101,47,1033,1213,252,268,911,2578,756,90.0,224.0,17.0,542.0,457.0,225.0,185.0,167.0,2235.0,237.0,937.0,1443.0,647.0,4355.0,2174.0,2134.0,1098.0,1792.0,11042.0,2683,1365,1849,830,5581,2410,2217,1126,981,9594,3606,394,1082.57,301,31090,41270,2,29559,40036.0
178,2016,공공(일반),경기도,안산시,지자체,직영,2016,안산미디어라이브러리,경기도 안산시 단원구 광덕1로 198 (고잔동),고잔동 782-1 안산미디어라이브러리,031-481-3961,031-481-8550,https://lib.iansan.net,안산,10,26,39,167,144,66,1111,174,2445,51,5.0,40.0,3.0,29.0,10.0,18.0,150.0,5.0,570.0,11.0,135.0,303.0,94.0,453.0,270.0,201.0,2819.0,305.0,5027.0,194,106,57,34,185,78,40,42,225,923,20,4000,2830.24,152,31090,41270,1,1710,14875.0
179,2016,공공(일반),경기도,안산시,지자체,직영,1993,안산시관산도서관,경기도 안산시 단원구 관산길 29 (원곡동),관산도서관,031-481-2752,031-481-3633,http://www.lib.iansan.net,안산시 단원구,529,339,214,2422,3155,368,1241,998,8283,2031,319.0,588.0,84.0,1510.0,1236.0,828.0,454.0,240.0,7221.0,684.0,2582.0,3727.0,1465.0,11113.0,3657.0,4844.0,2592.0,3013.0,34154.0,6010,6707,10767,6487,36084,10314,12203,9067,7959,60980,16265,6916,3737.0,298,31090,41270,24,176833,105901.0
180,2016,공공(일반),경기도,안산시,지자체,직영,2006,안산시중앙도서관,경기도 안산시 단원구 안산천남로 14 (고잔동),14 (중앙도서관),031-481-3349,031-481-3622,http://lib.iansan.net,안산시 단원구,1639,1492,1432,8134,11269,1377,1593,4105,31240,7131,1065.0,1348.0,448.0,3713.0,4626.0,2120.0,1704.0,1492.0,19131.0,3355.0,10121.0,14649.0,6670.0,43341.0,18694.0,23319.0,11860.0,13446.0,114421.0,23715,11295,13741,10010,46900,17731,17312,11657,10475,93663,23878,11334,6668.0,300,31090,41270,11,256662,388650.0
181,2016,공공(일반),경기도,안산시,지자체,직영,2014,원고잔도서관,경기도 안산시 단원구 원고잔공원로,33,031-481-3876,031-402-3583,http://www.lib.iansan.net,안산시,254,466,190,1282,1183,590,246,618,4574,1018,254.0,466.0,190.0,1282.0,1183.0,590.0,246.0,618.0,4574.0,1018.0,254.0,466.0,190.0,1282.0,1183.0,590.0,246.0,618.0,4574.0,1018,770,1606,676,3983,1502,1711,828,1261,8889,2077,861,783.28,298,31090,41270,3,23303,31263.0
182,2016,공공(일반),경기도,안산시,지자체,직영,2014,본오도서관,경기도 안산시 상록구 각골로 49 (본오동),본오도서관,031-481-3697,031-406-0548,http://lib.iansan.net,안산시 상록구,139,164,142,1165,1596,360,199,448,3162,820,60.0,157.0,29.0,351.0,233.0,153.0,170.0,117.0,1571.0,216.0,644.0,1075.0,555.0,3325.0,2209.0,1682.0,732.0,908.0,8404.0,1890,713,1056,517,2736,1428,1410,773,599,7549,1779,480.1,740.2,300,31090,41270,3,18560,32676.0
183,2016,공공(일반),경기도,안산시,지자체,직영,1997,안산시 감골도서관,경기도 안산시 상록구 감골공원안길,16-1 (사동),031-481-3706,031-481-3632,http://lib.iansan.net,사동,1152,528,775,4433,4959,841,656,2366,15520,3337,642.0,1007.0,340.0,2387.0,3018.0,1047.0,804.0,1186.0,12932.0,2102.0,6017.0,10660.0,4733.0,23324.0,9059.0,11276.0,5994.0,8885.0,77833.0,14098,5950,9658,6603,28270,10936,11037,7343,6796,58396,15227,9900,3351.0,297,31090,41270,20,160216,231911.0
184,2016,공공(일반),경기도,안산시,지자체,직영,2010,안산시 부곡도서관,경기도 안산시 상록구 성호로,333 (부곡도서관),031-481-3602~4,031-408-0506,http://lib.iansan.net,안산시 상록구,273,195,133,672,1384,201,497,279,1696,444,118.0,105.0,34.0,262.0,815.0,155.0,251.0,183.0,1428.0,241.0,716.0,1300.0,565.0,2657.0,1914.0,2041.0,1192.0,1076.0,8758.0,1730,1062,1279,689,3034,1487,1576,903,987,7861,1817,408,427.9,300,31090,41270,7,20695,31315.0
185,2016,공공(일반),경기도,안산시,지자체,직영,2015,안산시 일동도서관,경기도 안산시 상록구 구룡로,71 (일동도서관),031-481-3714,031-481-3240,http://lib.iansan.net,일동,93,113,98,572,727,192,151,224,1998,431,65.0,92.0,69.0,323.0,498.0,226.0,92.0,91.0,1920.0,569.0,530.0,840.0,435.0,1742.0,1536.0,1402.0,716.0,679.0,9283.0,2294,632,979,558,2593,1476,1166,796,1152,8553,2642,772,722.0,298,31090,41270,2,20547,28001.0
187,2016,공공(일반),경기도,안산시,지자체,직영,1997,안산시성포도서관,경기 안산시 상록구 성포동,산47-1,031-481-2757,031-481-3631,http://lib.iansan.net,안산시,647,529,315,1876,3876,568,541,1600,11218,3423,408.0,964.0,162.0,2343.0,1550.0,1191.0,758.0,583.0,9159.0,1217.0,2992.0,5344.0,2221.0,13542.0,5075.0,6581.0,3097.0,4264.0,43953.0,9502,5861,9582,5386,28646,8256,9879,8018,7809,49592,12319,4400,2811.47,283,31090,41270,20,145348,139499.0
188,2016,공공(일반),경기도,안성시,지자체,직영,2010,안성시립공도도서관,경기도 안성시 공도5로,26,031-678-3210,031-678-3229,http://apl.go.kr,안성시,1693,1178,562,6476,6963,1451,1051,2680,27555,7401,217.0,496.0,76.0,1445.0,935.0,688.0,488.0,286.0,4323.0,705.0,5276.0,6894.0,2526.0,22079.0,13136.0,12364.0,6180.0,7931.0,72109.0,13898,3884,5446,2428,19314,7844,8120,4977,3679,40058,10081,1085,4021.0,298,31220,41550,7,105831,229062.0
189,2016,공공(일반),경기도,안성시,지자체,직영,1996,안성시립보개도서관,경기도 안성시 종합운동장로,205 (안성시립보개도서관),031-678-5330,031-678-5339,http://www.apl.go.kr/,안성시,353,398,142,2135,2574,374,400,730,10128,1599,47.0,122.0,23.0,192.0,36.0,253.0,293.0,43.0,1941.0,115.0,267.0,694.0,128.0,1085.0,207.0,1436.0,1658.0,242.0,11001.0,650,2022,3070,1457,10404,4148,4061,3361,1746,26747,5585,18098,1769.0,298,31220,41550,21,62601,39266.0
190,2016,공공(일반),경기도,안성시,지자체,직영,2015,안성시립일죽도서관,경기도 안성시 금일로,"433, 3,4층 (일죽면복합행정센터)",031-678-3230,031-678-6856,http://www.apl.go.kr,안성시,267,413,195,2309,1803,400,190,1257,6226,1662,122.0,216.0,98.0,736.0,494.0,276.0,120.0,342.0,2179.0,511.0,221.0,453.0,197.0,637.0,173.0,703.0,290.0,110.0,2490.0,381,686,1375,798,4028,2407,1657,1138,677,12100,2867,3188,1265.0,299,31220,41550,2,27733,25471.0
191,2016,공공(일반),경기도,안성시,지자체,직영,2008,안성시립중앙도서관,경기도 안성시 안성맞춤대로,1150 (안성시립중앙도서관),031-676-7942,031-678-5309,http://www.apl.go.kr/,안성시,2506,1768,1249,12170,14161,2286,2021,7157,59687,10468,1072.0,1822.0,778.0,3954.0,813.0,2667.0,1924.0,810.0,8831.0,1734.0,4287.0,7287.0,3110.0,15818.0,3253.0,10666.0,7696.0,3239.0,35322.0,6937,15439,15898,7553,55735,19380,23873,17226,8673,116577,27304,17000,6249.0,299,31220,41550,9,307658,235493.0
192,2016,공공(일반),경기도,안성시,지자체,직영,2014,안성시립진사도서관,경기도 안성시 공도읍 진사2길 70,진사2길 70,031-678-4090,031-678-5847,http://www.apl.go.kr,안성시,561,720,259,3071,3109,819,585,1469,13748,2720,253.0,257.0,34.0,609.0,397.0,206.0,199.0,124.0,2048.0,283.0,2898.0,4670.0,1598.0,17815.0,10355.0,6641.0,3463.0,6649.0,63173.0,10957,1601,2361,908,7581,3715,2930,2224,1306,20464,4125,7240,1526.0,301,31220,41550,3,47215,159690.0
193,2016,공공(일반),경기도,안양시,지자체,직영,2016,안양시립관양도서관,경기도 안양시 동안구 동편로 124 (관양동),안양시립관양도서관,031-8045-6321,031-8045-6536,http://www.anyanglib.or.kr,경기도 안양시 동안구,177,100,41,328,289,162,64,200,1040,269,618.0,344.0,141.0,1146.0,1006.0,562.0,222.0,695.0,3638.0,939.0,8038.0,4482.0,1834.0,14903.0,13087.0,7314.0,2891.0,9039.0,47294.0,12214,2304,1828,1146,5914,2837,2849,1462,1368,13779,3472,1933,3889.63,167,31040,41170,1,36959,133077.0
194,2016,공공(일반),경기도,안양시,지자체,직영,2010,안양시립비산도서관,경기도 안양시 동안구 관악대로,123 (비산도서관 주건축물제1동),031-8045-6243,031-8045-6239,http://www.anyanglib.or.kr/,안양시 동안구,1394,908,661,4799,5492,732,739,1547,15826,3417,323.0,529.0,173.0,1068.0,195.0,719.0,339.0,328.0,2624.0,602.0,9897.0,12498.0,5074.0,33268.0,18545.0,15631.0,8446.0,10411.0,92636.0,20672,3969,4203,2794,12142,4354,4880,4772,3805,24476,6082,1001,3244.0,300,31040,41170,7,71477,269493.0
